时间,网关,传感器,通道,值
2018-03-22 01:22:29.0,1100201607150029,1,4,18.500000
2018-03-22 01:22:29.0,1100201607150029,1,64,0.080000
2018-03-22 01:22:29.0,1100201607150029,1,66,3.600000
2018-03-22 01:22:29.0,1100201607150029,1,67,6.900000
2018-03-22 01:22:29.0,1100201607150029,2,3,0.000000
2018-03-22 01:22:29.0,1100201607150029,2,4,0.000000
2018-03-22 01:22:29.0,1100201607150029,2,64,0.000000
2018-03-22 01:22:29.0,1100201607150029,2,66,0.000000
2018-03-22 01:22:29.0,1100201607150029,2,67,0.000000
2018-03-22 01:22:29.0,1100201607150029,3,1,14.200000
2018-03-22 01:22:29.0,1100201607150029,3,2,90.200000
2018-03-22 01:22:29.0,1100201607150029,3,4,14.600000
2018-03-22 01:22:29.0,1100201607150029,3,5,0.117000
2018-03-22 01:22:29.0,1100201607150029,3,20,498.000000
2018-03-22 01:22:29.0,1100201607150029,4,1,14.300000
2018-03-22 01:22:29.0,1100201607150029,4,2,88.700000
2018-03-22 01:22:29.0,1100201607150029,4,4,16.300000
2018-03-22 01:22:29.0,1100201607150029,4,5,0.164000
2018-03-22 01:22:29.0,1100201607150029,4,20,511.000000
2018-03-22 01:24:33.0,1100201607150029,1,3,1.000000
2018-03-22 01:24:33.0,1100201607150029,1,4,18.500000
2018-03-22 01:24:33.0,1100201607150029,1,64,0.080000
2018-03-22 01:24:33.0,1100201607150029,1,66,3.600000
2018-03-22 01:24:33.0,1100201607150029,1,67,6.900000
2018-03-22 01:24:33.0,1100201607150029,2,3,0.000000
2018-03-22 01:24:33.0,1100201607150029,2,4,0.000000
2018-03-22 01:24:33.0,1100201607150029,2,64,0.000000
2018-03-22 01:24:33.0,1100201607150029,2,66,0.000000
2018-03-22 01:24:33.0,1100201607150029,2,67,0.000000
2018-03-22 01:24:33.0,1100201607150029,3,1,14.200000
2018-03-22 01:24:33.0,1100201607150029,3,2,90.200000
2018-03-22 01:24:33.0,1100201607150029,3,4,14.600000
2018-03-22 01:24:33.0,1100201607150029,3,5,0.118000
2018-03-22 01:24:33.0,1100201607150029,3,20,502.000000
2018-03-22 01:24:33.0,1100201607150029,4,1,14.300000
2018-03-22 01:24:33.0,1100201607150029,4,2,88.700000
2018-03-22 01:24:33.0,1100201607150029,4,4,16.300000
2018-03-22 01:24:33.0,1100201607150029,4,5,0.166000
2018-03-22 01:24:33.0,1100201607150029,4,20,512.000000
2018-03-22 01:26:37.0,1100201607150029,1,3,0.000000
2018-03-22 01:26:37.0,1100201607150029,1,4,18.500000
2018-03-22 01:26:37.0,1100201607150029,1,64,0.090000
2018-03-22 01:26:37.0,1100201607150029,1,66,3.600000
2018-03-22 01:26:37.0,1100201607150029,1,67,6.900000
2018-03-22 01:26:37.0,1100201607150029,2,3,0.000000
2018-03-22 01:26:37.0,1100201607150029,2,4,0.000000
2018-03-22 01:26:37.0,1100201607150029,2,64,0.000000
2018-03-22 01:26:37.0,1100201607150029,2,66,0.000000
2018-03-22 01:26:37.0,1100201607150029,2,67,0.000000
2018-03-22 01:26:37.0,1100201607150029,3,1,14.100000
2018-03-22 01:26:37.0,1100201607150029,3,2,90.200000
2018-03-22 01:26:37.0,1100201607150029,3,4,14.600000
